CustomerAge,TransactionDate_hour,TransactionDate_hour_cos,TransactionDate_hour_sin,AccountBalance,TransactionDate_month,TransactionDate_month_sin,TransactionDate_month_cos,TransactionAmount,TransactionDuration,CustomerOccupation,Cluster
70,16,-0.5000000000000004,-0.8660254037844384,5112.21,4,0.8660254037844387,-0.4999999999999998,14.09,81,Doctor,1
68,16,-0.5000000000000004,-0.8660254037844384,13758.91,6,1.2246467991473532e-16,-1.0,376.24,141,Doctor,1
19,18,-1.8369701987210297e-16,-1.0,1122.35,7,-0.4999999999999997,-0.8660254037844388,126.29,56,Student,7
26,16,-0.5000000000000004,-0.8660254037844384,8569.06,5,0.49999999999999994,-0.8660254037844387,184.5,25,Student,5
26,17,-0.25881904510252063,-0.9659258262890683,7429.4,10,-0.8660254037844386,0.5000000000000001,13.45,198,Student,3
18,17,-0.25881904510252063,-0.9659258262890683,781.68,4,0.8660254037844387,-0.4999999999999998,92.15,172,Student,3
37,16,-0.5000000000000004,-0.8660254037844384,13316.71,2,0.8660254037844386,0.5000000000000001,7.08,139,Doctor,1
67,17,-0.25881904510252063,-0.9659258262890683,2796.24,5,0.49999999999999994,-0.8660254037844387,171.42,291,Retired,6
51,16,-0.5000000000000004,-0.8660254037844384,9095.14,3,1.0,6.123233995736766e-17,106.23,86,Engineer,1
55,16,-0.5000000000000004,-0.8660254037844384,1021.88,3,1.0,6.123233995736766e-17,815.96,120,Doctor,1
52,16,-0.5000000000000004,-0.8660254037844384,7599.52,3,1.0,6.123233995736766e-17,17.78,59,Engineer,1
21,17,-0.25881904510252063,-0.9659258262890683,1528.81,2,0.8660254037844386,0.5000000000000001,190.02,173,Student,3
24,17,-0.25881904510252063,-0.9659258262890683,1620.02,6,1.2246467991473532e-16,-1.0,494.52,111,Student,3
26,16,-0.5000000000000004,-0.8660254037844384,189.69,11,-0.5000000000000004,0.8660254037844384,781.76,123,Student,5
18,16,-0.5000000000000004,-0.8660254037844384,299.93,2,0.8660254037844386,0.5000000000000001,166.99,134,Student,5
36,16,-0.5000000000000004,-0.8660254037844384,3465.54,12,-2.4492935982947064e-16,1.0,465.45,129,Engineer,1
19,16,-0.5000000000000004,-0.8660254037844384,1131.26,10,-0.8660254037844386,0.5000000000000001,555.8,158,Student,5
39,18,-1.8369701987210297e-16,-1.0,5109.97,12,-2.4492935982947064e-16,1.0,492.93,234,Engineer,4
59,16,-0.5000000000000004,-0.8660254037844384,7948.37,2,0.8660254037844386,0.5000000000000001,18.68,106,Retired,1
18,18,-1.8369701987210297e-16,-1.0,6568.59,6,1.2246467991473532e-16,-1.0,71.48,169,Student,7
71,16,-0.5000000000000004,-0.8660254037844384,5750.89,2,0.8660254037844386,0.5000000000000001,59.32,38,Retired,1
